,date,pas,total,year,month
781,1793-01-02,12,2231,1793,1
838,1793-01-03,7,1765,1793,1
798,1793-01-09,12,2421,1793,1
789,1793-01-10,15,2921,1793,1
818,1793-01-11,14,3175,1793,1
832,1793-01-12,10,2388,1793,1
745,1793-01-13,20,2722,1793,1
787,1793-01-14,14,2666,1793,1
788,1793-01-15,11,2114,1793,1
783,1793-01-16,11,2069,1793,1
793,1793-01-18,11,2183,1793,1
849,1793-01-19,8,2156,1793,1
819,1793-01-20,10,2278,1793,1
824,1793-01-22,10,2316,1793,1
744,1793-01-23,15,2005,1793,1
826,1793-01-24,8,1865,1793,1
841,1793-01-26,7,1807,1793,1
792,1793-01-27,12,2355,1793,1
742,1793-01-28,17,2181,1793,1
743,1793-01-29,14,1815,1793,1
766,1793-02-01,29,4670,1793,2
794,1793-02-02,20,3969,1793,2
802,1793-02-03,24,4907,1793,2
875,1793-02-05,4,1879,1793,2
865,1793-02-07,5,1776,1793,2
752,1793-02-08,13,1966,1793,2
852,1793-02-09,7,1919,1793,2
829,1793-02-10,16,3758,1793,2
820,1793-02-12,18,4125,1793,2
867,1793-02-14,5,1864,1793,2
769,1793-02-15,11,1804,1793,2
805,1793-02-16,12,2464,1793,2
804,1793-02-19,9,1847,1793,2
740,1793-02-20,17,1876,1793,2
760,1793-02-21,15,2344,1793,2
757,1793-02-22,13,1992,1793,2
871,1793-02-23,5,2076,1793,2
872,1793-02-24,4,1702,1793,2
861,1793-02-25,12,3890,1793,2
770,1793-02-26,24,4009,1793,2
860,1793-02-27,7,2233,1793,2
825,1793-02-28,11,2550,1793,2
815,1793-03-01,9,2017,1793,3
786,1793-03-02,11,2094,1793,3
750,1793-03-03,17,2553,1793,3
749,1793-03-05,14,2014,1793,3
748,1793-03-06,16,2284,1793,3
816,1793-03-09,9,2021,1793,3
834,1793-03-11,8,1956,1793,3
858,1793-03-14,6,1875,1793,3
833,1793-03-15,11,2642,1793,3
803,1793-03-17,9,1842,1793,3
844,1793-03-19,9,2388,1793,3
784,1793-03-20,11,2086,1793,3
737,1793-03-21,18,1898,1793,3
739,1793-03-22,16,1737,1793,3
813,1793-03-25,8,1782,1793,3
879,1793-03-26,4,2244,1793,3
762,1793-03-27,14,2196,1793,3
847,1793-03-28,9,2413,1793,3
830,1793-03-29,10,2361,1793,3
747,1793-03-30,41,5727,1793,3
780,1793-04-01,24,4446,1793,4
775,1793-04-02,11,1931,1793,4
863,1793-04-03,6,2048,1793,4
797,1793-04-04,9,1811,1793,4
779,1793-04-05,9,1650,1793,4
736,1793-04-06,20,1845,1793,4
850,1793-04-07,7,1892,1793,4
882,1793-04-09,2,1860,1793,4
807,1793-04-10,9,1982,1793,4
854,1793-04-11,8,2303,1793,4
796,1793-04-12,9,1801,1793,4
870,1793-04-14,5,1912,1793,4
836,1793-04-16,10,2507,1793,4
823,1793-04-17,9,2071,1793,4
765,1793-04-18,12,1923,1793,4
755,1793-04-19,14,2134,1793,4
764,1793-04-20,15,2364,1793,4
778,1793-04-21,10,1829,1793,4
768,1793-04-22,14,2288,1793,4
776,1793-04-23,15,2710,1793,4
791,1793-04-24,12,2353,1793,4
774,1793-04-25,13,2264,1793,4
877,1793-04-27,4,1954,1793,4
812,1793-04-28,11,2450,1793,4
837,1793-04-29,9,2264,1793,4
782,1793-04-30,10,1867,1793,4
851,1793-05-02,9,2436,1793,5
821,1793-05-03,8,1834,1793,5
822,1793-05-04,8,1838,1793,5
800,1793-05-05,9,1834,1793,5
828,1793-05-06,8,1869,1793,5
763,1793-05-07,13,2042,1793,5
853,1793-05-08,14,3972,1793,5
843,1793-05-09,7,1852,1793,5
835,1793-05-10,8,2004,1793,5
840,1793-05-11,8,2064,1793,5
795,1793-05-13,10,2000,1793,5
814,1793-05-16,9,2014,1793,5
801,1793-05-17,10,2038,1793,5
874,1793-05-18,4,1829,1793,5
868,1793-05-20,5,1874,1793,5
839,1793-05-21,15,3862,1793,5
866,1793-05-23,6,2202,1793,5
809,1793-05-24,9,1998,1793,5
862,1793-05-25,6,2005,1793,5
859,1793-05-26,6,1899,1793,5
881,1793-05-29,2,1613,1793,5
878,1793-05-30,7,3641,1793,5
756,1793-05-31,13,1985,1793,5
772,1793-06-04,11,1886,1793,6
808,1793-06-05,10,2216,1793,6
754,1793-06-06,16,2422,1793,6
738,1793-06-07,20,2131,1793,6
873,1793-06-10,4,1808,1793,6
735,1793-06-11,27,2378,1793,6
855,1793-06-12,6,1746,1793,6
864,1793-06-13,5,1767,1793,6
876,1793-06-14,5,2422,1793,6
846,1793-06-15,7,1871,1793,6
857,1793-06-16,7,2159,1793,6
848,1793-06-17,7,1881,1793,6
845,1793-06-18,7,1865,1793,6
806,1793-06-19,11,2408,1793,6
758,1793-06-20,13,2001,1793,6
773,1793-06-21,14,2418,1793,6
817,1793-06-23,10,2253,1793,6
831,1793-06-24,8,1908,1793,6
741,1793-06-26,19,2219,1793,6
799,1793-06-27,11,2222,1793,6
869,1793-06-28,7,2664,1793,6
827,1793-06-29,9,2102,1793,6
